config_id,radius,ring height,ring thickness,blade count,inner thickness,inner max pos,inner camber,inner chord,inner angle,mid radial pos,mid chord,mid angle,outer thickness,outer max pos,outer camber,outer chord,outer angle,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg,naca_hub,naca_inner,naca_mid,naca_outer,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s,inner_solidity,mid_radius_mm,mid_solidity,mid_thickness,inner_abs_thickness_mm,mid_abs_thickness_mm,outer_abs_thickness_mm,min_blade_abs_thickness_mm,max_section_solidity
3549,68,4.0,2.0,4,22,7,6,8,18,0.6,12,12,16,4,7,11,8,0.000633,0.002945,0.002081,0.005658,6722,6722,7518,7416,True,0.0,4000.0,0.0,0.4185,0.004137,1.733,0.05798,0.008427,0.82809,1.40011,0.8795,0.007012,True,True,4000.0,0.005658,1.5e-05,0.001068,0.4185,1.732903,0.004137,7.539278,30.046729,9.047644,2.613093,14.753619,-7.763546,568.298848,,0.617328,40.8,0.187241,18.4,1.76,2.208,1.76,1.76,0.617328
3572,66,6.0,3.0,4,19,6,6,8,22,0.5,25,11,17,5,8,24,9,0.000633,0.011823,0.004543,0.017,6619,6619,7618,8517,True,0.0,4000.0,0.0,0.5186,0.007034,2.946,0.08094,0.01663,0.69233,1.24232,0.5535,0.01568,True,True,4000.0,0.017,3.9e-05,0.001458,0.5186,2.946395,0.007034,3.109716,19.576814,6.579934,1.790533,8.852552,-10.402698,1051.296749,,0.617328,33.0,0.482288,18.0,1.52,4.5,4.08,1.52,0.617328
3582,67,6.0,3.0,4,19,4,8,6,23,0.3,21,13,14,3,6,19,11,0.000633,0.010761,0.004612,0.016006,8419,8419,8418,6314,True,0.0,4000.0,0.0,0.148,0.003045,1.276,0.02176,0.00668,0.24005,0.61349,0.1523,0.03766,True,False,4000.0,0.016006,3.9e-05,0.001477,0.148,1.275487,0.003045,0.94255,0.0,0.0,0.0,0.0,0.0,4000.0,,0.462996,20.1,0.665125,17.5,1.14,3.675,2.66,1.14,0.665125
3654,66,4.0,2.0,5,21,5,5,7,21,0.5,20,16,18,3,9,15,6,0.000633,0.009216,0.002019,0.011869,5521,5521,7420,9318,True,0.0,4000.0,0.0,0.5848,0.007421,3.109,0.09128,0.01755,0.78558,1.35163,0.7001,0.01049,True,True,4000.0,0.011869,2.4e-05,0.001043,0.5848,3.108501,0.007421,5.022617,24.754644,6.748104,1.678577,12.379475,-11.108252,670.638085,,0.675203,33.0,0.482288,19.5,1.47,3.9,2.7,1.47,0.675203
3719,75,4.0,2.0,3,23,4,8,8,23,0.5,22,7,13,5,7,17,6,0.000633,0.006964,0.002295,0.009892,8422,8423,8418,7513,True,0.0,4000.0,0.0,0.05906,0.00233,0.976,0.005529,0.002908,0.07068,0.27138,0.0651,0.04036,True,False,4000.0,0.009892,2.8e-05,0.001156,0.05906,0.975988,0.00233,0.608639,0.0,0.0,0.0,0.0,0.0,4000.0,,0.462996,37.5,0.280113,18.0,1.84,3.96,2.21,1.84,0.462996
3730,69,4.0,2.0,5,21,5,7,7,23,0.5,22,6,12,5,2,18,4,0.000633,0.009838,0.002111,0.012583,7521,7521,5517,2512,True,0.0,4000.0,0.0,0.03003,0.001407,0.5894,0.003924,0.002665,0.04612,0.20414,0.0253,0.02083,True,False,4000.0,0.012583,2.8e-05,0.001081,0.03003,0.589363,0.001407,0.243282,0.0,0.0,0.0,0.0,0.0,4000.0,,0.675203,34.5,0.507451,16.5,1.47,3.63,2.16,1.47,0.675203
3748,74,4.0,2.0,5,19,5,9,6,20,0.5,14,6,13,4,6,12,3,0.000633,0.004398,0.002264,0.007295,9519,9519,8516,6413,True,0.0,4000.0,0.0,0.03268,0.002626,1.1,0.003228,0.003505,0.02616,0.1399,0.0368,0.05014,True,False,4000.0,0.007295,2.1e-05,0.001144,0.03268,1.099976,0.002626,0.456649,0.0,0.0,0.0,0.0,0.0,4000.0,,0.578745,37.0,0.301104,16.0,1.14,2.24,1.56,1.14,0.578745
3860,73,4.0,2.0,5,20,5,4,6,24,0.5,21,7,20,5,9,16,7,0.000633,0.011667,0.002233,0.014534,4520,4520,6520,9520,True,0.0,4000.0,0.0,0.7876,0.01377,5.769,0.08214,0.01968,0.59824,1.12686,0.6533,0.0498,True,True,4000.0,0.014534,3.5e-05,0.001131,0.7876,5.767964,0.01377,5.52387,23.481227,6.22524,1.444588,12.596757,-11.785707,587.843195,,0.578745,36.5,0.457843,20.0,1.2,4.2,3.2,1.2,0.578745
3862,76,4.0,2.0,5,24,5,3,5,22,0.4,28,9,15,6,3,16,2,0.000633,0.020982,0.002325,0.02394,3524,3524,3521,3615,True,0.0,4000.0,0.0,0.03179,0.004228,1.771,0.002822,0.004938,0.01518,0.09732,0.0175,0.03831,True,False,4000.0,0.02394,5.9e-05,0.001169,0.03179,1.77102,0.004228,0.135361,0.0,0.0,0.0,0.0,0.0,4000.0,,0.482288,30.4,0.73295,20.4,1.2,5.712,2.4,1.2,0.73295
3866,67,5.0,2.5,5,18,4,3,6,19,0.3,18,12,15,3,8,14,11,0.000633,0.009098,0.003203,0.012934,3418,3418,4418,8315,True,0.0,4000.0,0.0,0.4922,0.006522,2.732,0.07235,0.01431,0.67998,1.22747,0.5972,0.02932,True,True,4000.0,0.012934,3e-05,0.001266,0.4922,2.731929,0.006522,3.879106,22.446451,6.90028,1.854666,10.457164,-10.231153,870.752225,,0.578745,20.1,0.712634,17.1,1.08,3.078,2.1,1.08,0.712634
