config_id,geometry_ok,stl_path,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error
114,False,stl\prop_114.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_114.step,
115,False,stl\prop_115.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_115.step,
116,False,stl\prop_116.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_116.step,
117,False,stl\prop_117.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_117.step,
118,False,stl\prop_118.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_118.step,
119,False,stl\prop_119.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_119.step,
120,False,stl\prop_120.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_120.step,
121,False,stl\prop_121.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_121.step,
122,False,stl\prop_122.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_122.step,
123,False,stl\prop_123.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_123.step,
124,False,stl\prop_124.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_124.step,
125,False,stl\prop_125.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_125.step,
126,False,stl\prop_126.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_126.step,
127,False,stl\prop_127.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_127.step,
128,False,stl\prop_128.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_128.step,
129,False,stl\prop_129.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_129.step,
130,False,stl\prop_130.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_130.step,
131,False,stl\prop_131.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_131.step,
132,False,stl\prop_132.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_132.step,
133,False,stl\prop_133.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_133.step,
134,False,stl\prop_134.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_134.step,
135,False,stl\prop_135.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_135.step,
136,False,stl\prop_136.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_136.step,
137,False,stl\prop_137.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_137.step,
138,False,stl\prop_138.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_138.step,
139,False,stl\prop_139.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_139.step,
140,False,stl\prop_140.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_140.step,
141,False,stl\prop_141.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_141.step,
142,False,stl\prop_142.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_142.step,
143,False,stl\prop_143.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_143.step,
144,False,stl\prop_144.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_144.step,
145,False,stl\prop_145.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_145.step,
146,False,stl\prop_146.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_146.step,
147,False,stl\prop_147.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_147.step,
148,False,stl\prop_148.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_148.step,
149,False,stl\prop_149.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_149.step,
150,False,stl\prop_150.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_150.step,
151,False,stl\prop_151.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_151.step,
152,False,stl\prop_152.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_152.step,
153,False,stl\prop_153.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_153.step,
154,False,stl\prop_154.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_154.step,
155,False,stl\prop_155.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_155.step,
156,False,stl\prop_156.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_156.step,
157,False,stl\prop_157.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_157.step,
158,False,stl\prop_158.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_158.step,
159,False,stl\prop_159.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_159.step,
160,False,stl\prop_160.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_160.step,
