config_id,geometry_ok,stl_ok,stl_path,stl_size_bytes,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error,threedm_ok,threedm_path,all_output_names
1744,False,False,stl\prop_1744.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1744.step,,False,3dm\prop_1744.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1746,False,False,stl\prop_1746.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1746.step,,False,3dm\prop_1746.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1775,False,False,stl\prop_1775.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1775.step,,False,3dm\prop_1775.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1777,False,False,stl\prop_1777.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1777.step,,False,3dm\prop_1777.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1828,False,False,stl\prop_1828.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1828.step,,False,3dm\prop_1828.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1859,False,False,stl\prop_1859.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1859.step,,False,3dm\prop_1859.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1861,False,False,stl\prop_1861.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1861.step,,False,3dm\prop_1861.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1934,False,False,stl\prop_1934.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1934.step,,False,3dm\prop_1934.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1943,False,False,stl\prop_1943.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1943.step,,False,3dm\prop_1943.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
1986,False,False,stl\prop_1986.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_1986.step,,False,3dm\prop_1986.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2004,False,False,stl\prop_2004.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2004.step,,False,3dm\prop_2004.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2163,False,False,stl\prop_2163.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2163.step,,False,3dm\prop_2163.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2218,False,False,stl\prop_2218.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2218.step,,False,3dm\prop_2218.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2287,False,False,stl\prop_2287.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2287.step,,False,3dm\prop_2287.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2301,False,False,stl\prop_2301.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2301.step,,False,3dm\prop_2301.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2381,False,False,stl\prop_2381.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2381.step,,False,3dm\prop_2381.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2427,False,False,stl\prop_2427.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2427.step,,False,3dm\prop_2427.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2515,False,False,stl\prop_2515.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2515.step,,False,3dm\prop_2515.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2570,False,False,stl\prop_2570.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2570.step,,False,3dm\prop_2570.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2620,False,False,stl\prop_2620.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2620.step,,False,3dm\prop_2620.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2742,False,False,stl\prop_2742.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2742.step,,False,3dm\prop_2742.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2810,False,False,stl\prop_2810.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2810.step,,False,3dm\prop_2810.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2901,False,False,stl\prop_2901.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2901.step,,False,3dm\prop_2901.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2921,False,False,stl\prop_2921.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2921.step,,False,3dm\prop_2921.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
2940,False,False,stl\prop_2940.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_2940.step,,False,3dm\prop_2940.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
