config_id,naca_hub,re_hub,tier_hub,naca_mid,re_mid,tier_mid,naca_outer,re_outer,tier_outer,hub_CL0,hub_CL_a,hub_CLmin,hub_CLmax,hub_CD0,hub_CD2u,hub_CD2l,hub_CLCD0,hub_REref,hub_REexp,hub_xfoil_ok,mid_CL0,mid_CL_a,mid_CLmin,mid_CLmax,mid_CD0,mid_CD2u,mid_CD2l,mid_CLCD0,mid_REref,mid_REexp,mid_xfoil_ok,outer_CL0,outer_CL_a,outer_CLmin,outer_CLmax,outer_CD0,outer_CD2u,outer_CD2l,outer_CLCD0,outer_REref,outer_REexp,outer_xfoil_ok
4812,5417,10000,viscous,4415,10000,viscous,3411,20000,viscous,-0.1659,3.6613,-0.2247,0.6183,0.06635,0.163038,0.163038,-0.2245,10000,-0.5,True,-0.0959,3.3808,-0.1539,0.62,0.052965,0.155239,0.155239,-0.2138,10000,-0.5,True,0.0311,3.3021,-0.4081,0.7834,0.034117,0.227567,0.227567,0.0038,20000,-0.5,True
4813,3616,10000,viscous,5416,20000,viscous,5416,25000,viscous,-0.1332,3.3167,-0.1273,0.5615,0.053111,0.233356,0.233356,-0.1269,10000,-0.5,True,-0.1466,3.9234,-0.4538,0.7495,0.058591,0.197084,0.197084,-0.1407,20000,-0.5,True,-0.1367,4.0151,-0.4656,0.7656,0.057082,0.171751,0.171751,-0.1634,25000,-0.5,True
4814,2322,10000,inviscid,3419,25000,viscous,5613,30000,viscous,0.2564,7.4253,-0.3765,2.07,0.0094,0.02,0.02,0.2564,10000,-0.5,False,-0.2635,3.302,-0.5555,0.5944,0.043197,0.114041,0.114041,-0.5188,25000,-0.5,True,0.0474,4.2928,-0.3583,0.9262,0.042598,0.183097,0.183097,0.0495,30000,-0.5,True
4815,8419,10000,inviscid,4414,15000,viscous,1411,25000,viscous,1.068,7.1898,0.4055,2.7694,0.0088,0.02,0.02,1.068,10000,-0.5,False,-0.0589,3.4258,-0.408,0.7251,0.045419,0.163324,0.163324,-0.1698,15000,-0.5,True,-0.1325,6.3633,-0.5049,0.7514,0.02569,0.01,0.01,-0.0327,25000,-0.5,True
4816,6417,10000,viscous,4616,15000,viscous,2814,30000,viscous,-0.2212,4.5588,-0.3914,0.6667,0.075524,0.169138,0.169138,-0.1658,10000,-0.5,True,-0.1253,3.8189,-0.3526,0.7089,0.050927,0.214527,0.214527,-0.1046,15000,-0.5,True,-0.1997,7.4101,-0.5171,0.8578,0.03108,0.01,0.01,-0.0827,30000,-0.5,True
4817,6223,10000,inviscid,4320,25000,viscous,1614,60000,viscous,0.7268,7.4484,0.0635,2.5147,0.0096,0.02,0.02,0.7268,10000,-0.5,False,-0.3419,4.2716,-0.5653,0.5911,0.0517,0.097063,0.097063,-0.6087,25000,-0.5,True,0.0363,7.2561,-0.5686,1.0488,0.024502,0.012115,0.012115,0.4097,60000,-0.5,True
4818,1415,10000,inviscid,5312,25000,viscous,7310,25000,viscous,0.1317,7.0552,-0.4628,1.8623,0.008,0.02,0.02,0.1317,10000,-0.5,False,0.0483,3.2756,-0.3642,0.845,0.04925,0.191171,0.191171,-0.0499,25000,-0.5,True,-0.087,5.9564,-0.3525,0.9633,0.063888,0.088637,0.088637,-0.1332,25000,-0.5,True
4819,5319,10000,viscous,5516,15000,viscous,4712,20000,viscous,-0.2296,3.2132,-0.3602,0.5405,0.071072,0.138102,0.138102,-0.3976,10000,-0.5,True,-0.1563,4.3677,-0.422,0.7367,0.056321,0.174814,0.174814,-0.1401,15000,-0.5,True,0.0653,4.0,-0.4253,0.8684,0.03546,0.25101,0.25101,0.106,20000,-0.5,True
4820,7819,10000,inviscid,6715,20000,viscous,6612,25000,viscous,1.5622,7.0764,0.8789,3.2027,0.0088,0.02,0.02,1.5622,10000,-0.5,False,-0.1629,5.8882,-0.387,0.9051,0.05416,0.183548,0.183548,0.0114,20000,-0.5,True,0.1203,4.2998,-0.2885,0.9667,0.048082,0.236302,0.236302,0.183,25000,-0.5,True
4821,8323,10000,inviscid,3521,20000,inviscid,0020,25000,inviscid,1.0225,7.4172,0.3437,2.783,0.0096,0.02,0.02,1.0225,10000,-0.5,False,0.4475,7.3533,-0.191,2.2306,0.0092,0.02,0.02,0.4475,20000,-0.5,False,0.0006,7.3349,-0.6091,1.8089,0.009,0.02,0.02,0.0006,25000,-0.5,False
