"config_id","naca_hub","naca_inner","naca_mid","naca_outer"
3329,"6522","6523","4416","4414"
3330,"9422","9422","8422","5620"
3331,"1622","1622","1622","0021"
3332,"7323","7323","6422","3520"
3333,"0019","0019","0016","1710"
3334,"3621","3621","5518","7516"
3335,"2823","2823","2621","2419"
3336,"4523","4523","4522","4815"
3337,"2323","2323","2320","1317"
3338,"1820","1820","2819","3717"
3339,"5315","5315","4314","3312"
3340,"8724","8724","6721","3718"
3341,"7222","7222","7522","8822"
3342,"5424","5424","5422","5520"
3343,"2422","2423","4616","7808"
3344,"9619","9619","8618","4810"
3345,"6218","6218","5317","1414"
3346,"2217","2217","2314","2510"
3347,"3518","3518","6617","8616"
3348,"8616","8616","8516","7215"
3349,"6222","6222","7322","8722"
3350,"8320","8320","7319","2416"
3351,"5821","5821","3717","1715"
3352,"0014","0014","3514","6614"
3353,"8419","8419","7615","7614"
3354,"7517","7517","8513","8510"
3355,"9723","9724","5619","1512"
3356,"6523","6524","7717","7813"
3357,"9622","9623","7514","5509"
3358,"3822","3823","3618","3313"
3359,"9522","9522","8522","2520"
3360,"3815","3815","4614","4414"
3361,"7223","7223","6219","6217"
3362,"1421","1421","2519","4716"
3363,"7518","7518","7517","7515"
3364,"8321","8322","5418","1512"
3365,"9319","9319","7419","3519"
3366,"6714","6714","5513","3311"
3367,"6420","6420","4417","0011"
3368,"7316","7316","6415","4514"
3369,"8620","8620","8619","5810"
3370,"6721","6721","5519","4418"
3371,"4315","4315","4414","5512"
3372,"4323","4323","4321","4608"
3373,"6623","6623","4623","2522"
3374,"2624","2624","3420","4318"
3375,"6418","6419","4312","2207"
3376,"2818","2818","3618","4217"
3377,"2620","2620","3719","4818"
3378,"8422","8422","7421","4417"
3379,"3622","3622","3518","4314"
3380,"2623","2623","2620","1614"
3381,"9521","9521","7418","3312"
3382,"2223","2224","5520","8815"
3383,"2620","2621","2517","2406"
3384,"8616","8616","7615","0008"
3385,"8321","8321","8320","7416"
3386,"3222","3222","2219","1217"
3387,"7322","7322","5419","3615"
3388,"1420","1421","1515","1513"
3389,"1622","1622","2721","3720"
3390,"7519","7519","6519","4618"
3391,"4822","4822","3820","0017"
3392,"3415","3416","4612","5807"
3393,"9223","9223","7320","3512"
3394,"6319","6319","4519","2718"
3395,"2423","2423","3421","6310"
3396,"0020","0020","1717","2611"
3397,"1623","1624","1620","2509"
3398,"9717","9718","8713","8711"
3399,"6421","6421","6419","4510"
3400,"3621","3622","5615","7610"
3401,"8717","8717","6715","3813"
3402,"6719","6719","5616","3412"
3403,"1820","1820","3718","7614"
3404,"1622","1623","1619","1514"
3405,"8721","8721","7621","6420"
3406,"5322","5322","7520","9719"
3407,"6523","6523","2520","1519"
3408,"7424","7424","5421","0014"
3409,"3422","3422","2421","1519"
3410,"1415","1415","2514","6613"
3411,"4418","4418","5316","8212"
3412,"8722","8722","8720","9412"
3413,"2513","2513","4513","9612"
3414,"9717","9717","8716","2610"
3415,"4411","4411","4410","5409"
3416,"6623","6623","6419","6317"
3417,"2622","2623","1618","0011"
3418,"5323","5323","3421","2419"
3419,"6523","6523","4521","2518"
3420,"6819","6819","5718","3317"
3421,"4620","4620","4620","1519"
3422,"3615","3615","6713","8812"
3423,"3715","3715","4614","8211"
3424,"6319","6320","4514","2610"
3425,"6818","6818","5815","4808"
3426,"2422","2423","2615","2713"
3427,"6319","6319","4416","0010"
3428,"6322","6322","6420","7518"
3429,"6619","6619","5617","2711"
3430,"2523","2523","4523","8623"
3431,"1220","1220","3320","8719"
3432,"8523","8523","6621","4620"
3433,"7419","7420","6615","5711"
3434,"4621","4622","5619","6510"
3435,"6821","6822","5718","4608"
3436,"4520","4520","5416","5414"
3437,"1421","1421","2420","6315"
3438,"2318","2318","3417","7816"
3439,"7419","7419","2517","1517"
3440,"7518","7518","5615","2811"
3441,"3523","3523","4521","6519"
3442,"4519","4519","3517","0008"
3443,"2522","2523","3616","4711"
3444,"3423","3423","5520","9713"
3445,"1822","1822","2720","2718"
3446,"4221","4221","6319","7317"
3447,"4624","4624","5624","7723"
