config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s
275,False,False,4000.0,0.009491,3e-05,0.001106,,,,,,,,,,,
276,True,False,4000.0,0.008018,2.8e-05,0.001131,0.0,1.907994,0.004555,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
277,True,True,4000.0,0.021837,7.3e-05,0.001665,0.3425,1.262082,0.003013,1.598824,16.301706,8.420861,2.685116,4.99503,-8.413184,2188.495828,
278,True,False,4000.0,0.023128,8.6e-05,0.002124,0.1217,0.357723,0.000854,0.536404,0.0,0.0,0.0,0.0,0.0,4000.0,
279,True,True,4000.0,0.005973,1.4e-05,0.000993,0.4483,2.343628,0.005595,7.65064,22.896707,6.851099,1.784259,13.751706,-8.36325,514.686288,
280,True,True,4000.0,0.0062,1.6e-05,0.000691,0.2196,2.020672,0.004824,3.610582,13.11113,5.013668,1.26388,7.856993,-9.211988,877.926287,
281,True,False,4000.0,0.010311,2.8e-05,0.000691,0.05837,0.733457,0.001751,0.577085,0.0,0.0,0.0,0.0,0.0,4000.0,
282,True,False,4000.0,0.013565,6.8e-05,0.002199,0.107,0.917345,0.00219,0.804049,0.0,0.0,0.0,0.0,0.0,4000.0,
283,True,False,4000.0,0.006425,1.5e-05,0.001006,0.05094,0.365681,0.000873,0.808197,0.0,0.0,0.0,0.0,0.0,4000.0,
284,True,True,4000.0,0.019302,5.7e-05,0.001923,0.1967,1.320726,0.003153,1.038779,0.005292,0.439609,0.143845,0.027214,-0.080104,3779.138363,
285,True,False,4000.0,0.015257,5.3e-05,0.001609,0.06512,0.34013,0.000812,0.435101,0.0,0.0,0.0,0.0,0.0,4000.0,
286,True,False,4000.0,0.013264,3e-05,0.001018,0.06632,0.249233,0.000595,0.509697,0.0,0.0,0.0,0.0,0.0,4000.0,
287,True,False,4000.0,0.006527,1.7e-05,0.000647,0.04511,1.123015,0.002681,0.704538,0.0,0.0,0.0,0.0,0.0,4000.0,
288,True,True,4000.0,0.010172,2.1e-05,0.00098,0.1494,0.557947,0.001332,1.497134,5.619805,4.88913,1.485512,2.815105,-5.884278,2305.355348,
289,True,False,4000.0,0.017782,6.1e-05,0.001207,0.1054,0.965097,0.002304,0.604229,0.0,0.0,0.0,0.0,0.0,4000.0,
290,True,False,4000.0,0.013803,3.3e-05,0.001382,0.0,0.593133,0.001416,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
291,True,False,4000.0,0.010065,2.8e-05,0.00142,0.08187,0.444431,0.001061,0.8292,0.0,0.0,0.0,0.0,0.0,4000.0,
292,True,False,4000.0,0.010182,2.4e-05,0.000679,0.08086,0.593552,0.001417,0.809551,0.0,0.0,0.0,0.0,0.0,4000.0,
