config_id,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg
358,0.00063333,0.00846154,0.00604267,0.01513754
359,0.00063333,0.00330357,0.00688405,0.01082095
360,0.00063333,0.00538129,0.00330434,0.00931896
361,0.00063333,0.00806157,0.00258152,0.01127642
362,0.00063333,0.0091473,0.00206521,0.01184584
363,0.00063333,0.00380145,0.00461231,0.00904709
364,0.00063333,0.01616845,0.00284541,0.01964719
365,0.00063333,0.00875611,0.0043446,0.01373404
366,0.00063333,0.01206667,0.00930112,0.02200112
367,0.00063333,0.00327887,0.00117794,0.00509014
368,0.00063333,0.01074859,0.00379388,0.0151758
369,0.00063333,0.00572423,0.00151449,0.00787205
370,0.00063333,0.00598337,0.00141505,0.00803175
371,0.00063333,0.00449742,0.00688405,0.0120148
372,0.00063333,0.00268852,0.01281198,0.01613383
373,0.00063333,0.00563258,0.0029066,0.00917251
374,0.00063333,0.01632158,0.00379388,0.02074879
375,0.00063333,0.02008387,0.00119324,0.02191044
376,0.00063333,0.00438026,0.00569081,0.0107044
377,0.00063333,0.02616392,0.00733151,0.03412876
378,0.00063333,0.00323879,0.00546135,0.00933347
379,0.00063333,0.00739936,0.01204709,0.02007978
380,0.00063333,0.00631395,0.0065169,0.01346418
381,0.00063333,0.00300401,0.00447463,0.00811197
382,0.00063333,0.00524661,0.01262076,0.0185007
383,0.00063333,0.00820032,0.00108615,0.0099198
384,0.00063333,0.01813276,0.00474999,0.02351608
385,0.00063333,0.01401551,0.00316666,0.0178155
386,0.00063333,0.00298154,0.00495652,0.00857139
387,0.00063333,0.007934,0.00433695,0.01290428
388,0.00063333,0.0137181,0.00244766,0.01679909
389,0.00063333,0.009529,0.00856682,0.01872915
390,0.00063333,0.01126959,0.0062989,0.01820182
391,0.00063333,0.01189755,0.00428341,0.01681429
392,0.00063333,0.00245949,0.0012812,0.00437402
393,0.00063333,0.00206101,0.01055554,0.01324988
394,0.00063333,0.01060799,0.00633333,0.01757465
395,0.00063333,0.01846949,0.00650543,0.02560825
396,0.00063333,0.00548426,0.0108768,0.01699439
397,0.00063333,0.00898104,0.00784782,0.01746219
398,0.00063333,0.00443325,0.00186634,0.00693292
399,0.00063333,0.0105324,0.00331964,0.01448537
400,0.00063333,0.00863668,0.00198873,0.01125874
401,0.00063333,0.00308123,0.00826086,0.01197542
402,0.00063333,0.00561546,0.00169807,0.00794686
403,0.00063333,0.00435128,0.00481883,0.00980344
404,0.00063333,0.00463792,0.00153744,0.00680869
405,0.00063333,0.00320812,0.00671195,0.0105534
406,0.00063333,0.01575642,0.00530072,0.02169047
407,0.00063333,0.00742439,0.00426811,0.01232583
408,0.00063333,0.0026224,0.0057826,0.00903833
409,0.00063333,0.00781928,0.00233293,0.01078554
410,0.00063333,0.00771977,0.00702173,0.01537483
411,0.00063333,0.00259618,0.00922463,0.01245414
412,0.00063333,0.00407816,0.00233293,0.00704442
413,0.00063333,0.0117468,0.0052204,0.01760053
414,0.00063333,0.0078163,0.00546135,0.01391098
415,0.00063333,0.01381371,0.00403864,0.01848568
416,0.00063333,0.00259592,0.00764129,0.01087054
417,0.00063333,0.00544785,0.00165217,0.00773335
418,0.00063333,0.00620561,0.00679226,0.0136312
419,0.00063333,0.00467443,0.0028913,0.00819906
420,0.00063333,0.00252174,0.00853622,0.01169129
421,0.00063333,0.00915787,0.00275362,0.01254482
422,0.00063333,0.0079714,0.00780192,0.01640665
423,0.00063333,0.00480473,0.0025471,0.00798516
424,0.00063333,0.00335364,0.00461231,0.00859928
425,0.00063333,0.0041209,0.00279951,0.00755374
426,0.00063333,0.00773103,0.00379388,0.01215824
427,0.00063333,0.00976049,0.00107085,0.01146467
428,0.00063333,0.01188086,0.00316666,0.01568085
429,0.00063333,0.01284101,0.00471175,0.01818609
430,0.00063333,0.00553915,0.00428341,0.01045589
431,0.00063333,0.00738011,0.00954588,0.01755932
432,0.00063333,0.01217441,0.01208533,0.02489307
433,0.00063333,0.01071364,0.00569081,0.01703778
434,0.00063333,0.01223271,0.00353381,0.01639985
435,0.00063333,0.00246081,0.00587439,0.00896853
436,0.00063333,0.0047902,0.00133857,0.0067621
437,0.00063333,0.00822243,0.00302898,0.01188474
438,0.00063333,0.00505159,0.00660869,0.01229361
439,0.00063333,0.00483345,0.00118559,0.00665237
440,0.00063333,0.00684369,0.01073912,0.01821614
441,0.00063333,0.0027342,0.00348027,0.0068478
442,0.00063333,0.00699393,0.00746537,0.01509263
443,0.00063333,0.00819183,0.00520128,0.01402644
444,0.00063333,0.00785653,0.0052204,0.01371026
445,0.00063333,0.00264364,0.00268478,0.00596175
446,0.00063333,0.005025,0.01005071,0.01570904
447,0.00063333,0.0050606,0.00229468,0.00798861
448,0.00063333,0.00248493,0.00162922,0.00474748
449,0.00063333,0.00595335,0.00488767,0.01147435
450,0.00063333,0.00712982,0.00337318,0.01113633
451,0.00063333,0.00941874,0.01242953,0.0224816
452,0.00063333,0.00446612,0.00466586,0.00976531
453,0.00063333,0.00330038,0.00186634,0.00580005
454,0.00063333,0.0067115,0.0032661,0.01061093
455,0.00063333,0.01236466,0.0036256,0.01662359
456,0.00063333,0.01169501,0.0014227,0.01375104
457,0.00063333,0.00795007,0.00211493,0.01069833
458,0.00063333,0.01119065,0.00412278,0.01594676
459,0.00063333,0.00467971,0.00357971,0.00889275
460,0.00063333,0.00817313,0.00267713,0.01148359
461,0.00063333,0.00491822,0.0050942,0.01064575
462,0.00063333,0.00856476,0.0021417,0.01133979
463,0.00063333,0.0085391,0.00114734,0.01031977
464,0.00063333,0.00362761,0.00233293,0.00659387
465,0.00063333,0.00344188,0.0086739,0.01274911
466,0.00063333,0.00212967,0.0022029,0.0049659
467,0.00063333,0.00784755,0.00321256,0.01169344
468,0.00063333,0.00712094,0.01395932,0.02171359
469,0.00063333,0.0133727,0.00211493,0.01612096
470,0.00063333,0.00956807,0.00172101,0.01192241
471,0.00063333,0.01512151,0.00530072,0.02105556
472,0.00063333,0.01206051,0.00422222,0.01691606
473,0.00063333,0.00425887,0.0043446,0.0092368
474,0.00063333,0.0052457,0.0130032,0.01888223
475,0.00063333,0.00655039,0.0025624,0.00974612
476,0.00063333,0.00860668,0.00167512,0.01091513
477,0.00063333,0.01702495,0.00536956,0.02302784
478,0.00063333,0.00916932,0.00279951,0.01260216
479,0.00063333,0.00632754,0.00385507,0.01081594
480,0.00063333,0.00280626,0.01132044,0.01476003
481,0.00063333,0.00362752,0.00263889,0.00689974
482,0.00063333,0.00549879,0.00380152,0.00993364
483,0.00063333,0.00998184,0.00353381,0.01414898
484,0.00063333,0.01482654,0.00523188,0.02069175
485,0.00063333,0.00571617,0.00120471,0.00755421
486,0.00063333,0.0051996,0.00681521,0.01264814
487,0.00063333,0.00559209,0.00586292,0.01208834
488,0.00063333,0.01302635,0.00208816,0.01574784
489,0.00063333,0.01434564,0.00342673,0.0184057
490,0.00063333,0.00439475,0.00624154,0.01126962
491,0.00063333,0.00542791,0.00302898,0.00909022
492,0.00063333,0.00454449,0.00176691,0.00694473
493,0.00063333,0.01787667,0.00474999,0.02325999
494,0.00063333,0.00677875,0.00120853,0.00862061
495,0.00063333,0.00211133,0.00238647,0.00513113
496,0.00063333,0.00920289,0.00325845,0.01309467
497,0.00063333,0.01077386,0.00110145,0.01250864
498,0.00063333,0.00394402,0.00133857,0.00591592
499,0.00063333,0.00773161,0.00461231,0.01297725
500,0.00063333,0.00411777,0.0022029,0.006954
501,0.00063333,0.00448107,0.00461231,0.00972671
502,0.00063333,0.00711998,0.00137681,0.00913012
503,0.00063333,0.016675,0.00367149,0.02097982
504,0.00063333,0.00508033,0.00839854,0.0141122
505,0.00063333,0.00719493,0.00417632,0.01200458
506,0.00063333,0.0077063,0.00226409,0.01060372
507,0.00063333,0.01112,0.00233293,0.01408626
