config_id,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg
1617,True,0.0,4000.0,0.0,0.09114,0.001318,0.5519,0.01827,0.00426,0.28984,0.69524,0.2131,0.04868
1618,True,0.0,4000.0,0.0,0.2907,0.002907,1.218,0.05828,0.009397,0.74812,1.30876,0.6012,0.01374
1619,True,0.0,4000.0,0.0,0.06946,0.000682,0.2857,0.01306,0.002036,0.3666,0.813,0.1309,0.0145
1620,True,0.0,4000.0,0.0,0.1663,0.001797,0.7528,0.0276,0.004588,0.49956,0.9996,0.1926,0.01946
1621,True,0.0,4000.0,0.0,0.292,0.00375,1.571,0.02336,0.003847,0.46414,0.95146,0.1909,0.02302
1622,True,0.0,4000.0,0.0,0.08756,0.000684,0.2864,0.01213,0.001393,0.47953,0.97251,0.0956,0.006505
1623,True,0.0,4000.0,0.0,0.1107,0.003531,1.479,0.01728,0.008351,0.136,0.41981,0.1025,0.05287
1624,True,0.0,4000.0,0.0,-0.03964,0.000764,0.3202,-0.00334,0.000836,,,-0.024,0.005771
1625,True,0.0,4000.0,0.0,0.01161,0.001387,0.5811,0.002483,0.004865,0.01272,0.08648,0.0201,0.04971
1626,True,0.0,4000.0,0.0,0.07553,0.000705,0.2953,0.009869,0.001335,0.36721,0.81399,0.0795,0.008621
1627,False,,,,,,,,,,,,
1628,True,0.0,4000.0,0.0,0.04262,0.003639,1.524,0.003082,0.003289,0.02601,0.13936,0.0431,0.05907
1629,True,0.0,4000.0,0.0,0.3816,0.003644,1.527,0.05956,0.008619,0.84309,1.41683,0.5274,0.0066
1630,True,0.0,4000.0,0.0,0.08275,0.0007,0.2931,0.006621,0.000718,0.3753,0.82581,0.1008,0.01246
1631,True,0.0,4000.0,0.0,0.02289,0.001844,0.7724,0.002991,0.003492,0.02342,0.12995,0.0205,0.03056
1632,True,0.0,4000.0,0.0,-0.1024,0.004743,1.987,-0.008194,0.004865,,,-0.0823,0.06102
1633,True,0.0,4000.0,0.0,-0.1576,0.003756,1.573,-0.01328,0.00411,,,-0.1483,0.0523
1634,True,0.0,4000.0,0.0,0.08659,0.002154,0.9024,0.006929,0.00221,0.13048,0.40839,0.0683,0.02426
1635,True,0.0,4000.0,0.0,0.04498,0.000769,0.322,0.009016,0.002485,0.17224,0.49143,0.162,0.04961
1636,True,0.0,4000.0,0.0,0.2552,0.00721,3.02,0.01845,0.006517,0.19234,0.52881,0.147,0.0519
1637,True,0.0,4000.0,0.0,0.2027,0.001374,0.5757,0.02808,0.0028,0.84027,1.41349,0.4626,0.008094
1638,True,0.0,4000.0,0.0,0.2224,0.002304,0.9649,0.03081,0.004693,0.57617,1.09915,0.2874,0.0208
1639,True,0.0,4000.0,0.0,0.02459,0.000838,0.3509,0.004081,0.002138,0.06094,0.2459,0.0573,0.03765
1640,True,0.0,4000.0,0.0,0.1283,0.001612,0.6753,0.02265,0.004447,0.38327,0.83757,0.1846,0.02847
